Country,Regiune,Nume Regiune,TIP,Judet,Niv,Nat Level,Nat Lev Name,Sirsup,Cnt Id,Cnt Name,Cnt Abbr,Rang,Siruta,Denloc,Nume Uat,Codp,FS2,FS3,FSJ,FSL,Fictiv,Area Sqm Uat,Perimeter M Uat,Latitude Uat,Longitude Uat,Pop 1Ian2020,Count of siruta_uat_pop.csv
Ro,1,Nord-Est,1,4,2,3Rdorder,Municipiu Resedinta De Judet,47,1.47,Bacău,Bc,I,20297,Municipiul Bacau,Bacău,0,4,,4,4.11676E+11,,43252727.04,43097.74391,46.56019992,26.9154657,197222,1
Ro,1,Nord-Est,1,7,2,3Rdorder,Municipiu Resedinta De Judet,74,1.74,Botoşani,Bt,Ii,35731,Municipiul Botoşani,Botoşani,0,7,,7,7.11683E+11,,41419183.12,49498.92821,47.7442737,26.67687406,119521,1
Ro,1,Nord-Est,1,22,2,3Rdorder,Municipiu Resedinta De Judet,225,1.225,Iaşi,Is,I,95060,Municipiul Iaşi,Iaşi,0,24,,24,2.41172E+12,,91981125.06,85926.33646,47.15730737,27.5886983,387103,1
Ro,1,Nord-Est,1,27,2,3Rdorder,Municipiu Resedinta De Judet,270,1.27,Neamţ,Nt,Ii,120726,Municipiul Piatra-Neamţ,Piatra-Neamţ,0,29,,29,2.91173E+12,,77169816.34,51510.43265,46.92178317,26.36223897,112186,1
Ro,1,Nord-Est,1,33,2,3Rdorder,Municipiu Resedinta De Judet,332,1.332,Suceava,Sv,Ii,146263,Municipiul Suceava,Suceava,0,35,,35,3.51175E+12,,48668461.53,47742.48529,47.66792437,26.26550599,125191,1
Ro,1,Nord-Est,1,37,2,3Rdorder,Municipiu Resedinta De Judet,378,1.378,Vaslui,Vs,Ii,161945,Municipiul Vaslui,Vaslui,0,39,,39,3.91176E+12,,68391924.03,54718.29263,46.64892553,27.73603289,130622,1
Ro,1,Nord-Est,2,4,2,3Rdorder,Oras,47,1.47,Bacău,Bc,Iii,20778,Oraş Buhuşi,Buhuşi,0,4,,4,4.3191E+11,,39506358.11,36058.16523,46.73363375,26.70280179,22831,1
Ro,1,Nord-Est,2,4,2,3Rdorder,Oras,47,1.47,Bacău,Bc,Iii,20821,Oraş Comaneşti,Comăneşti,0,4,,4,4.31926E+11,,64016724.82,61566.09789,46.41239708,26.42055851,23353,1
Ro,1,Nord-Est,2,4,2,3Rdorder,Oras,47,1.47,Bacău,Bc,Iii,20910,Oraş Slanic-Moldova,Slănic-Moldova,0,4,,4,4.32035E+11,,115289798.4,63300.72087,46.20843718,26.44651791,5076,1
Ro,1,Nord-Est,2,4,2,3Rdorder,Oras,47,1.47,Bacău,Bc,Iii,20965,Oraş Tîrgu Ocna,Târgu Ocna,0,4,,4,4.32057E+11,,49246592.18,38455.85292,46.28487806,26.60128414,12689,1
Ro,1,Nord-Est,2,4,2,3Rdorder,Oras,47,1.47,Bacău,Bc,Iii,22166,Oraş Darmaneşti,Dărmăneşti,0,4,,4,4.31936E+11,,272992850,118350.6917,46.3348315,26.36356272,14582,1
Ro,1,Nord-Est,2,7,2,3Rdorder,Oras,74,1.74,Botoşani,Bt,Iii,35946,Oraş Darabani,Darabani,0,7,,7,7.31934E+11,,101147038.9,75641.57536,48.17311303,26.62055536,13099,1
Ro,1,Nord-Est,2,7,2,3Rdorder,Oras,74,1.74,Botoşani,Bt,Iii,36060,Oraş Saveni,Săveni,0,7,,7,7.32023E+11,,59169937.33,52362.002,47.96631548,26.86508358,8063,1
