Nume Uat,Cnt Name,Nume Regiune,Rang,Judet,Regiune,TIP,Pop 1Ian2020
Bacău,Bacău,Nord-Est,I,4,1,1,197222
Botoşani,Botoşani,Nord-Est,Ii,7,1,1,119521
Iaşi,Iaşi,Nord-Est,I,22,1,1,387103
Piatra-Neamţ,Neamţ,Nord-Est,Ii,27,1,1,112186
Suceava,Suceava,Nord-Est,Ii,33,1,1,125191
Vaslui,Vaslui,Nord-Est,Ii,37,1,1,130622
Buhuşi,Bacău,Nord-Est,Iii,4,1,2,22831
Comăneşti,Bacău,Nord-Est,Iii,4,1,2,23353
Slănic-Moldova,Bacău,Nord-Est,Iii,4,1,2,5076
Târgu Ocna,Bacău,Nord-Est,Iii,4,1,2,12689
Dărmăneşti,Bacău,Nord-Est,Iii,4,1,2,14582
Darabani,Botoşani,Nord-Est,Iii,7,1,2,13099
Săveni,Botoşani,Nord-Est,Iii,7,1,2,8063
Bucecea,Botoşani,Nord-Est,Iv,7,1,2,5492
Flămânzi,Botoşani,Nord-Est,Iv,7,1,2,11872
Ştefăneşti,Botoşani,Nord-Est,Iv,7,1,2,6330
Hârlău,Iaşi,Nord-Est,Iii,22,1,2,15214
Târgu Frumos,Iaşi,Nord-Est,Iii,22,1,2,14382
Podu Iloaiei,Iaşi,Nord-Est,Iv,22,1,2,11069
Bicaz,Neamţ,Nord-Est,Iii,27,1,2,8242
Târgu Neamţ,Neamţ,Nord-Est,Iii,27,1,2,22199
Roznov,Neamţ,Nord-Est,Iv,27,1,2,10379
Gura Humorului,Suceava,Nord-Est,Iii,33,1,2,17870
Siret,Suceava,Nord-Est,Iii,33,1,2,9487
Solca,Suceava,Nord-Est,Iii,33,1,2,2632
Salcea,Suceava,Nord-Est,Iv,33,1,2,10931
Milişăuţi,Suceava,Nord-Est,Iv,33,1,2,5510
Broşteni,Suceava,Nord-Est,Iv,33,1,2,6344
Cajvana,Suceava,Nord-Est,Iv,33,1,2,9949
Dolhasca,Suceava,Nord-Est,Iv,33,1,2,11447
Frasin,Suceava,Nord-Est,Iv,33,1,2,6577
Liteni,Suceava,Nord-Est,Iv,33,1,2,10310
Vicovu De Sus,Suceava,Nord-Est,Iv,33,1,2,16874
Negreşti,Vaslui,Nord-Est,Iii,37,1,2,10184
Murgeni,Vaslui,Nord-Est,Iv,37,1,2,8192
Sărata,Bacău,Nord-Est,,4,1,3,2280
Buciumi,Bacău,Nord-Est,,4,1,3,3256
Gioseni,Bacău,Nord-Est,,4,1,3,4287
Odobeşti,Bacău,Nord-Est,,4,1,3,2430
Prăjeşti,Bacău,Nord-Est,,4,1,3,2207
Iteşti,Bacău,Nord-Est,,4,1,3,1521
Hemeiuş,Bacău,Nord-Est,Iv,4,1,3,6262
Letea Veche,Bacău,Nord-Est,Iv,4,1,3,7351
Măgura,Bacău,Nord-Est,Iv,4,1,3,5482
Mărgineni,Bacău,Nord-Est,Iv,4,1,3,10143
Gura Văii,Bacău,Nord-Est,Iv,4,1,3,5033
Ştefan Cel Mare,Bacău,Nord-Est,Iv,4,1,3,5219
Agăş,Bacău,Nord-Est,Iv,4,1,3,5966
Ardeoani,Bacău,Nord-Est,Iv,4,1,3,2368
Asău,Bacău,Nord-Est,Iv,4,1,3,6908
Balcani,Bacău,Nord-Est,Iv,4,1,3,7832
Bereşti-Bistriţa,Bacău,Nord-Est,Iv,4,1,3,2167
Bereşti-Tazlău,Bacău,Nord-Est,Iv,4,1,3,5524
Berzunţi,Bacău,Nord-Est,Iv,4,1,3,5279
Bârsăneşti,Bacău,Nord-Est,Iv,4,1,3,4583
Blăgeşti,Bacău,Nord-Est,Iv,4,1,3,7597
Bogdăneşti,Bacău,Nord-Est,Iv,4,1,3,2762
Brusturoasa,Bacău,Nord-Est,Iv,4,1,3,3417
Buhoci,Bacău,Nord-Est,Iv,4,1,3,5103
Caşin,Bacău,Nord-Est,Iv,4,1,3,4007
Căiuţi,Bacău,Nord-Est,Iv,4,1,3,5365
Cleja,Bacău,Nord-Est,Iv,4,1,3,6963
Coloneşti,Bacău,Nord-Est,Iv,4,1,3,2313
Corbasca,Bacău,Nord-Est,Iv,4,1,3,5490
Coţofăneşti,Bacău,Nord-Est,Iv,4,1,3,3615
Dămieneşti,Bacău,Nord-Est,Iv,4,1,3,1826
Dealu Morii,Bacău,Nord-Est,Iv,4,1,3,2685
Dofteana,Bacău,Nord-Est,Iv,4,1,3,11193
Faraoani,Bacău,Nord-Est,Iv,4,1,3,5371
Filipeni,Bacău,Nord-Est,Iv,4,1,3,2148
Filipeşti,Bacău,Nord-Est,Iv,4,1,3,4584
Găiceana,Bacău,Nord-Est,Iv,4,1,3,2769
Ghimeş-Făget,Bacău,Nord-Est,Iv,4,1,3,4746
Gârleni,Bacău,Nord-Est,Iv,4,1,3,7063
Glăvăneşti,Bacău,Nord-Est,Iv,4,1,3,3191
Helegiu,Bacău,Nord-Est,Iv,4,1,3,6478
Horgeşti,Bacău,Nord-Est,Iv,4,1,3,5700
Huruieşti,Bacău,Nord-Est,Iv,4,1,3,2233
Izvoru Berheciului,Bacău,Nord-Est,Iv,4,1,3,1585
Lipova,Bacău,Nord-Est,Iv,4,1,3,3145
Livezi,Bacău,Nord-Est,Iv,4,1,3,5470
Luizi-Călugăra,Bacău,Nord-Est,Iv,4,1,3,5130
Măgireşti,Bacău,Nord-Est,Iv,4,1,3,4185
Mănăstirea Caşin,Bacău,Nord-Est,Iv,4,1,3,5416
Motoşeni,Bacău,Nord-Est,Iv,4,1,3,3238
Negri,Bacău,Nord-Est,Iv,4,1,3,2773
Nicolae Bălcescu,Bacău,Nord-Est,Iv,4,1,3,10083
Oituz,Bacău,Nord-Est,Iv,4,1,3,9243
Onceşti,Bacău,Nord-Est,Iv,4,1,3,1606
Orbeni,Bacău,Nord-Est,Iv,4,1,3,3831
Palanca,Bacău,Nord-Est,Iv,4,1,3,3335
Parava,Bacău,Nord-Est,Iv,4,1,3,3357
Parincea,Bacău,Nord-Est,Iv,4,1,3,3733
Pânceşti,Bacău,Nord-Est,Iv,4,1,3,4317
Pârgăreşti,Bacău,Nord-Est,Iv,4,1,3,4724
Pârjol,Bacău,Nord-Est,Iv,4,1,3,6222
Plopana,Bacău,Nord-Est,Iv,4,1,3,3239
Podu Turcului,Bacău,Nord-Est,Iv,4,1,3,4913
Poduri,Bacău,Nord-Est,Iv,4,1,3,7997
Racova,Bacău,Nord-Est,Iv,4,1,3,3568
Răcăciuni,Bacău,Nord-Est,Iv,4,1,3,8384
Răchitoasa,Bacău,Nord-Est,Iv,4,1,3,4646
Roşiori,Bacău,Nord-Est,Iv,4,1,3,2373
Sascut,Bacău,Nord-Est,Iv,4,1,3,9729
Sănduleni,Bacău,Nord-Est,Iv,4,1,3,4643
Săuceşti,Bacău,Nord-Est,Iv,4,1,3,5454
Scorţeni,Bacău,Nord-Est,Iv,4,1,3,3001
Secuieni,Bacău,Nord-Est,Iv,4,1,3,2305
