Country Origin Name,Country Origin Code,Migration by Gender Name,Migration by Gender Code,Country Dest Name,Country Dest Code,People No
Austria,AUT,Female,FEM,Austria,AUT,0
Austria,AUT,Female,FEM,Belgium,BEL,1168
Austria,AUT,Female,FEM,Bulgaria,BGR,71
Austria,AUT,Female,FEM,Croatia,HRV,967
Austria,AUT,Female,FEM,Cyprus,CYP,94
Austria,AUT,Female,FEM,Czech Republic,CZE,4604
Austria,AUT,Female,FEM,Denmark,DNK,743
Austria,AUT,Female,FEM,Estonia,EST,4
Austria,AUT,Female,FEM,Finland,FIN,132
Austria,AUT,Female,FEM,France,FRA,12702
Austria,AUT,Female,FEM,Germany,DEU,85689
Austria,AUT,Female,FEM,Greece,GRC,860
Austria,AUT,Female,FEM,Hungary,HUN,841
Austria,AUT,Female,FEM,Ireland,IRL,470
Austria,AUT,Female,FEM,Italy,ITA,7647
Austria,AUT,Female,FEM,Latvia,LVA,44
Austria,AUT,Female,FEM,Lithuania,LTU,24
Austria,AUT,Female,FEM,Luxembourg,LUX,367
Austria,AUT,Female,FEM,Netherlands,NLD,3716
Austria,AUT,Female,FEM,Poland,POL,2423
Austria,AUT,Female,FEM,Portugal,PRT,156
Austria,AUT,Female,FEM,Romania,ROU,266
Austria,AUT,Female,FEM,Slovak Republic,SVK,484
Austria,AUT,Female,FEM,Slovenia,SVN,1489
Austria,AUT,Female,FEM,Spain,ESP,1815
Austria,AUT,Female,FEM,Sweden,SWE,2629
Austria,AUT,Female,FEM,Malta,MLT,8
Austria,AUT,Male,MAL,Austria,AUT,0
Austria,AUT,Male,MAL,Belgium,BEL,1093
Austria,AUT,Male,MAL,Bulgaria,BGR,68
Austria,AUT,Male,MAL,Croatia,HRV,703
Austria,AUT,Male,MAL,Cyprus,CYP,66
Austria,AUT,Male,MAL,Czech Republic,CZE,2819
Austria,AUT,Male,MAL,Denmark,DNK,710
Austria,AUT,Male,MAL,Estonia,EST,5
Austria,AUT,Male,MAL,Finland,FIN,172
Austria,AUT,Male,MAL,France,FRA,12375
Austria,AUT,Male,MAL,Germany,DEU,103407
Austria,AUT,Male,MAL,Greece,GRC,513
Austria,AUT,Male,MAL,Hungary,HUN,732
Austria,AUT,Male,MAL,Ireland,IRL,289
Austria,AUT,Male,MAL,Italy,ITA,2485
Austria,AUT,Male,MAL,Latvia,LVA,49
Austria,AUT,Male,MAL,Lithuania,LTU,20
Austria,AUT,Male,MAL,Luxembourg,LUX,254
Austria,AUT,Male,MAL,Netherlands,NLD,2680
Austria,AUT,Male,MAL,Poland,POL,2225
Austria,AUT,Male,MAL,Portugal,PRT,137
Austria,AUT,Male,MAL,Romania,ROU,305
Austria,AUT,Male,MAL,Slovak Republic,SVK,317
Austria,AUT,Male,MAL,Slovenia,SVN,1161
Austria,AUT,Male,MAL,Spain,ESP,1493
Austria,AUT,Male,MAL,Sweden,SWE,3328
Austria,AUT,Male,MAL,Malta,MLT,6
Austria,AUT,Total,TOT,Austria,AUT,0
Austria,AUT,Total,TOT,Belgium,BEL,2261
